None	morning page
P1	hello how are you
P2	it's good to see you up and about how are you feeling after your last little hospitalization
P1	well it was pretty scary I'm I'm definitely improving but I don't feel as well as I think I should um the COFF is a lot better but my breathing is still not what I think it should be right now
P2	so you're you're still struggling to breathe some
P1	I guess you could call it struggling I just when I walked to the mailbox or up the stairs I get out of breath easily
P2	exercise tends to make the breathing worse
P1	it does seem so yes
P2	so you're better but not quite where you want to be and
P1	I'm definitely not where I think I should be I feel like I should be better by now usually after a cough or bronchitis I'm able to breathe easily and it's not like that this time
P2	so you usually bounce back pretty quickly but this time is taking longer and that's a that's a real concern to you
P1	it was when I was with you in the hospital you gave me a little oxygen in the beginning and I just never thought I would be a person that would have to have oxygen that was scary too
P2	so that the oxygen piece is something that scary it almost feels like ear were really really sick when you needed oxygen  C	it does I never picture myself needing a I guess I'm scared of needing an oxygen tank and carrying it around with me and having the tubes in my nose um that I just don't see myself needing that I always think of myself as being healthy
P2	and now it seems like you may have some real or some permanent damage
P1	that's what it seems like
P2	Paige would it be okay if we talked a little bit about your disease process
P1	sure
P2	you know with a flare-up of bronchitis like this you very well may have done some damage to your lungs the good news is as you continue to heal I mean we have a spirometry today which is that breathing test that you did we compared that  about six months ago it is quite a bit worse now a lot of that will get better with time but also a lot of that kind of depends upon whether you continue to smoke or not
P1	oh this one we're going to talk about my smoking huh
P2	well Paige we don't have to talk about anything you don't want to talk about um those are going to be decisions that only you can make I can't make you quit and so that's just going to have to be your decision I I want you to know though that I'm here to support you and even though we've talked about smoking cessation and some things that you could do in the past you've been kind of resistant about that I wonder if having this bout in the hospital has done anything to change your mind
P1	well I think I need to seriously think about it again I just evidently my health is on the line because it it was just a really bad experience for me
P2	so bad experience mm-hmm so if we look down the road maybe five ten years and you decided not to quit smoking what do you think that would look like for you
P1	probably not good I would see me not being able to breathe at all and again just my biggest fear would be needing oxygen every day all day that
P2	oxygen is a pretty strong motivator for you isn't it yeah well so it sounds like if it sounds to me like if if you didn't quit smoking that you feel like your overall health might really be at risk
P1	yes
P2	where does that where does that leave you  C	I need to start considering it more seriously than I have in the past if I want a different outcome if it's
P2	okay at this point Paige it's great and but let's talk about it's okay what's something called a decision balance so and involves four things to think about it's almost like writing it on a page but we're going to do it in the air or whatever so what are the good things about smoking that you like if you didn't side to quit what are some of the negatives about smoking if you didn't decide to quit and then if you did quit what would be some of the good things and then what would be some of the negative things if you did quit so tell me if you would what are some of the good things about that you like about smoking if you continue to smoke the way you are
P1	okay um I like the taste I like how it feels in my throat I love the social aspect of it I have smoking friends I have non-smoking friends and just when I'm with my friends that smoke it is just a lot of fun it's just something we do as loud as that sounds um and I love it with my coffee first thing whirring a lot
P2	so some of the good things are the taste we regularly with coffee and how it makes you feel and then it sounds like there's a big social component to smoking for you there is tell me about then what would be some of the negatives if you continued to smoke and didn't quit
P1	my health that would be the number one things that are negative about smoking the snow and my clothes my hair and that it's a lot of people that are surround myself with it's not socially acceptable anymore and that does make me uncomfortable
P2	so some of the negative things would be it's a impact on your health right the the smell clothes and so forth and then there's a lot of kind of social pushback
P1	yes there is
P2	with cigarette smoking I see what else
P1	well you know my husband Dan recently stopped smoking and was it yeah he's done quite well but now it's seems like he's righteous and I'm an addict and he says things like you could just do it if you'll just do it you know what those cigarettes are gonna do to you why don't you just stop I tell them I've stopped a hundred times and I'll stop when I'm ready but it you know that's put a strain on things
P2	it does sound like he's concerned about you and and concerned about your health and that he loves you
P1	I know it just doesn't feel that way sometimes but I know that he would be supportive because he wants what's best for me
