None	tamil it
P1	that's me
P2	the time
P1	I don't have a lunch
P2	how are you doing today how are you know I'd not seen you for so many months I really won't have it
P1	one question Jesus
P2	but I was asking how are you doing I am fine I guess
P2	and what have you been doing
P1	living living breathing yes
P2	I understand that well I have an important notice to let you know about and I've heard that you're getting evicted and whether you're getting me to do you know how long you have
P1	plans I saw it was like three days and then I had to be out
P2	but have you not seen a lot of that I've written to you I've taken my time writing this to use telling you all about this or what you can do
P1	it might be I don't know I mean it might be in the piles or I don't know I don't open
P2	mp don't read your letters
P1	I get so much crap I don't read everything I can't read everything
P2	you need to have to spend your money wisely honestly you really do like why are you not spending on bills and right that's the most important
P1	I'm spending it on what I want I'm spending it or what makes me feel good and
P2	what does make sure you feel good
P1	having fun makes me feel good and that's why I spend my money I don't
P2	be prostituting yourself that is not fun
P1	I need one money that I get from benefits I can't go out and get a job because then I won't get my benefits and I do want
P2	record you progressed so well have to say that and then you just got down you I don't understand why
P1	I do what I know I know how I feel when I'm selling myself and I get the money
P2	do you like to feel confused do you not do like to not know what's going on
P1	I feel confused when I'm clean I feel confused when I'm here listening to all your demands yes that's happened it makes me comfortable to get high my dope is my eye I feel good on drugs I know how to how to feel on drugs I don't know what to do with myself when I'm not
P2	yeah but tell me laid honestly all you need to do is just go to the right path to do better for yourself in the future you don't know what's going to happen and you really ought to be lead to better yourself
P1	I don't know how I can charge spending
P2	start calculating how much money you spend and how much money
P1	there you go that wasn't simply actually like the hair do these things
P2	trust me i am confused I tell you something I'm personally been in your shoes I used to be a dry friend oh no you don't know this was telling you it's honestly I used to be dragged out of myself and trust me it was the hardest point of my life right it is why
P1	we're not the thing about how I can't do it
P2	counselors that used to help me and
P1	I've been in rehab so many times and every time I come back out into the world shit hits the fan and everything's back to that by tell me now
P2	I'm now counselor helping
P1	yeah that I don't look comfortable when I'm high and I know how to get more money and I know prostitution isn't like the perfect thing society wants me is what I know I understand I don't fit in oh I bore you to tell me what I love
P2	I've been exactly where you have been honestly I really have and I know exactly what you feel
P1	I can't do you did I don't fit in I can't
P2	you trust me you can I I've helped many things before I don't want I'm it into your eyes I'm not going to stop here I want to help you obviously do you need to know you won against
P1	it's not going to do anything
P2	Trust is what makes us honestly I may need to understand why arrangements and you cannot be since you time in right no and then this you think this is the world right you understand this and you cannot be there people living around the world and for living around I'm doing everything
P1	I don't give a crap about other people you cannot be the sensor and other problems don't you never up crap about me who's gonna give a crap about of drug addicts and prostitutes herself
P2	at all people people are better themselves obviously that you cannot be judge of attention you too dark and
P1	it's too much and get to confuse I can't do all these things you did my head from me how you can turn it into that
P2	you can do it trust me you can do it
